FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160319;0000;13,7357;;;
160320;0000;12,6903;;;
160321;0000;16,3945;;;
160322;0000;12,7866;;;
160323;0000;17,3315;;;
160324;0000;17,7433;;;
160325;0000;13,0605;;;
160326;0000;13,8736;;;
160327;0000;15,9921;;;
160328;0000;17,2313;;;
160329;0000;13,4788;;;
160330;0000;17,7928;;;
160331;0000;19,0028;;;
160401;0000;11,0212;;;
160402;0000;16,5743;;;
160403;0000;16,9419;;;
160404;0000;15,7453;;;
160405;0000;18,6557;;;
160406;0000;19,5582;;;
160407;0000;19,7627;;;
160408;0000;18,1796;;;
160409;0000;14,0523;;;
160410;0000;13,8794;;;
160411;0000;13,1072;;;
160412;0000;13,1574;;;
160413;0000;16,3631;;;
160414;0000;11,9265;;;
160415;0000;18,3221;;;
160416;0000;18,5253;;;
160417;0000;17,1121;;;
160418;0000;13,3228;;;
160419;0000;14,7966;;;
160420;0000;10,8966;;;
160421;0000;16,9027;;;
160422;0000;8,46812;;;
160423;0000;7,96793;;;
160424;0000;13,4072;;;
160425;0000;9,88248;;;
160426;0000;8,70467;;;
160427;0000;8,45003;;;
160428;0000;10,9949;;;
160429;0000;9,21132;;;
160430;0000;8,83388;;;
160501;0000;14,5637;;;
160502;0000;12,4815;;;
160503;0000;11,9348;;;
160504;0000;11,1935;;;
160505;0000;11,4106;;;
160506;0000;9,13873;;;
160507;0000;6,36214;;;
160508;0000;6,90019;;;
160509;0000;7,6321;;;
160510;0000;12,9059;;;
160511;0000;11,651;;;
160512;0000;10,6848;;;
160513;0000;11,3525;;;
160514;0000;11,484;;;
160515;0000;16,2436;;;
160516;0000;14,6865;;;
160517;0000;19,6584;;;
160518;0000;13,4389;;;
160519;0000;25,2493;;;
160520;0000;31,6397;;;
160521;0000;28,2622;;;
160522;0000;25,732;;;
160523;0000;23,3473;;;
160524;0000;20,9799;;;
160525;0000;16;;;
160526;0000;;;;
